word,aID,deltaE
tomato,3JNQLM5FT4MP27LE0HWVH4AVPWZ2L5,18.590183641245414
tomato,3JRJSWSMQHL0HJ75NVNWNJP3MDZE36,17.707671963265334
tomato,3JWH6J9I9SD9EKOVVN5LVPHOOXDNBV,0.0
tomato,3KMS4QQVK2QYJVF83CZ1MNR5911FK3,0.0
tomato,3KYQYYSHYV7KB2MRAYW4545THTVDOA,0.0
tomato,3L0KT67Y8EG2759BDB0R2UPVW53SYR,0.0
tomato,3L4PIM1GQTGQ6Q9YYM0MCKKZA3KYR9,0.0
tomato,3LEP4MGT3G00S8XI6TRIZK5UAUCDB6,0.0
tomato,3LQ8PUHQFLSRRWGQYZ2PCSO5XBNIHP,0.0
tomato,3LQ8PUHQFLSRRWGQYZ2PCSO5XBOHIP,17.707671963265334
tomato,3LRKMWOKB5H97W2IFIN4PJLT4692ZS,18.987207674067594
tomato,3LYA37P8IQN86E3SYAD53X0KU39KBQ,26.453263550877107
tomato,3M23Y66PO270OLZ57S5ZJ352XVA6S5,0.0
tomato,3MB8LZR5BFTKJNP4PN2ZH0WP6WLKL9,25.087377296262115
tomato,3MB8LZR5BFTKJNP4PN2ZH0WP6XNKLD,0.0
tomato,3MHW492WW0DI5G11O3HLJMMVM0KMV3,0.0
tomato,3MRNMEIQW56C5HJUX6GCDN1ZMNODLP,12.951233519355895
tomato,3MYYFCXHJ37JJTM0T4I3XR2LDT9G49,0.0
tomato,3NPI0JQDAO59DRUPBO9YZ8S5UJETPN,0.0
tomato,3O7L7BFSHEPF7MPO8YUJRPRS5VVIE9,0.0
tomato,3OF2M9AATGO4OC684OT8PF7NL6VKZW,0.0
tomato,3OLF68YTN91S7I6MRLMCS9O94O6FAL,0.0
tomato,3OUYGIZWR7Y8XIXYDMLOFXQ0X8GP06,0.0
tomato,3P4MQ7TPPXC7DBZYSX0C4UHU78WBBR,0.0
tomato,3PB5A5BD0V6G2G4JV2GA03MV4VZG7T,61.23820233592565
tomato,3PQMUDRV7R6RNRRA4HKAC4PKXP4IIM,0.0
tomato,3PS7W85Z8Z2OL4EIUZD1DISQPFUT9Q,16.311633052001927
tomato,3QEMNNSB2XZDQWUSTCF2UIJYR4LD7K,0.0
tomato,3QJOXOW4XJR135FFTDSBJIY9M5HEMP,0.0
tomato,3QXNC7EIPIVN5VHRWXPRT7QLS4Z09N,0.0
tomato,3QY5DC2MXRKCMRKKXQ33SA03BRXFUW,17.707671963265334
tomato,3R6BYFZZP7C43VEF2VEQCHZ759EFXO,0.0
tomato,3R6BYFZZP7C43VEF2VEQCHZ75AGFXS,12.951233519355904
tomato,3S06PH7KSR4ZFAFQ4WYTT8SLOHJD1J,17.70767196326532
tomato,3S0TNUHWKTIHQAZB3H788IFT2ORD87,0.0
tomato,3SB4CE2TJVV974X7RFSYYGOG8T2XAU,0.0
tomato,3SITXWYCNV9EQE2ZXTSUTR8MQBNXBP,17.707671963265334
tomato,3SNLUL3WO4NYMJUGJ161NN5N8NJULG,0.0
tomato,3STRJBFXOWR820X9YW4Q3R66097KTC,13.269600154772546
tomato,3TVRFO09GKFQ3NOBO6HO7U4R25YXL9,47.587364067136875
tomato,3U4J9857OEBKBZW8FGOWZSVYOI8B78,0.0
tomato,3UJ1CZ6IZHP45HZR29VURXR210YS5A,0.0
tomato,3UOUJI6MTDETMDB5XK9PYH0AFWSUX1,0.0
tomato,3VZLGYJEYLAA8C5F378XF9FPHE7ZXV,12.951233519355895
tomato,3W2LOLRXLBFVMLKHU7ZV3C5OCOAKRZ,0.0
tomato,3W8CV64QJ2ZYGVNNU5WCZZP2EM29H1,0.0
tomato,3WSELTNVR322QNONM5R19D3AVXDATN,0.0
tomato,3WYGZ5XF3WF7N0KU9WZ0TMAKYQTKSN,55.98355959518627
tomato,3WYGZ5XF3WF7N0KU9WZ0TMAKYRVKSR,0.0
tomato,3X31TUMD7XMIDM3IHDWHCL0QXRN1LR,0.0
tomato,3X4JMASXCM96TOWOUH3NKDLBG41B07,0.0
tomato,3X65QVEQI0N20PDGXAL1THJH1OECLS,0.0
tomato,3XM0HYN6NKZ7O8CSLTK30MS4RASPEW,0.0
tomato,3XUHV3NRVKYFF8LBRFJVNJK0SPH5H2,0.0
tomato,3XUHV3NRVKYFF8LBRFJVNJK0SQJ5H6,25.087377296262115
tomato,3Y5140Z9DXGJ4DEEHCAUL1QWJ3ZPI5,0.0
tomato,3Y54SXRO1LLM5W2LSA8S9EF4204UTI,0.0
tomato,3Y9N9SS8LYBVPDT5R0CCH17IM1YD3C,0.0
tomato,3YDTZAI2WXGMFEWXBLX0Q4YFB5S411,0.0
tomato,3YJ6NA41JBGFZOYKZUVUX25WWIOJPB,0.0
tomato,3YOH7BII097NFS1Y3R4549URXVPKVW,0.0
tomato,3YW4XOSQKQLLWCQCQROI38W9AHF1UI,0.0
tomato,3ZWFC4W1UU7K6ZS3TW8YNZDJ4STFRS,0.0
tomato,3ZY8KE4ISJ39QVZTGWO20V60W0GQVR,0.0
fire,31Z0PCVWUKFK7LQPF2FHZM1KUP57TR,0.0
fire,32RIADZISS4M9YVRO4CKM5LO159S4D,17.70767196326532
fire,32SCWG5HIH43BTJDFB15OY0RABT6PF,0.0
fire,32UTUBMZ7GWMMPX4XERC56B1A05BVQ,12.537888021611485
fire,339ANSOTR52ITMHY4K5MPK4XPSLIKN,0.0
fire,33FBRBDW6OZ7LITX3LCXOCXBHOK8C7,13.269600154772546
fire,33IZTU6J811D70J18FEPJGIMU0GXSZ,45.18453578850344
fire,33IZTU6J811D70J18FEPJGIMUZ2XSJ,0.0
fire,33LKR6A5KEK6WZBNQMY8YCA7R321TL,0.0
fire,33OOO72IVHLQJ2LL6JNSF8TYV0NCTG,0.0
fire,33PPO7FECVFAFGBOC3JZL7975JOIDA,0.0
fire,34HJIJKLP5W21QCVIZHPXS5V08S4VH,0.0
fire,34S9DKFK73P5RSH65FJ530FP97YYNQ,13.269600154772546
fire,34T446B1C0EP3TOU8HZIVXRTYPSC06,0.0
fire,354P56DE9K3JSLDAQ2ARPH5YS6GS7C,0.0
fire,35USIKEBNRG38870ZWODK9VWAWS6NJ,12.537888021611439
fire,35USIKEBNRG38870ZWODK9VWAWVN63,12.537888021611485
fire,37Q970SNZE85HZY81MTIO7ELPLZS10,13.269600154772561
fire,37W3JXSD668VEMQKXGASZJSG2J2YWH,0.0
fire,37XITHEISW9D3N8T2UIXFTSG7FYRCQ,0.0
fire,386CSBG1OZMOB5KSFOGUO3Q1F7F6Q6,13.269600154772561
fire,392CY0QWG1RXFKSVJSI6I3F1S6S4IG,0.0
fire,39ASUFLU6X7CXHEJ7KUKUZE7T97EXF,38.14965452824203
fire,39N5ACM9HENQTCLBDI4H88RT0DF9P9,12.951233519355904
fire,3A1PQ49WVHHGRQKSQSHJKT7JG931H7,0.0
fire,3ATPCQ38J8AY79NHWBE0HUVPA03AYM,0.0
fire,3ATTHHXXWAOODMG533KBFECZL1XIX9,25.71499034190143
fire,3AUQQEL7U5TL22UUZYUNLPFIJWBV0R,17.70767196326532
