word,groundTruth,condition
bone,54.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,3.0,concrete
bone,4.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,6.0,concrete
bone,54.0,concrete
bone,3.0,concrete
bone,4.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,1.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,3.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,6.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,6.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,54.0,concrete
bone,2.0,concrete
bone,2.0,concrete
bone,6.0,concrete
tree,4.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,4.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,1.0,concrete
tree,49.0,concrete
tree,3.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,13.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,1.0,concrete
tree,49.0,concrete
tree,13.0,concrete
tree,1.0,concrete
tree,13.0,concrete
tree,3.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,2.0,concrete
tree,49.0,concrete
tree,2.0,concrete
tree,2.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,2.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,6.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,1.0,concrete
tree,49.0,concrete
tree,3.0,concrete
tree,3.0,concrete
tree,6.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,1.0,concrete
tree,13.0,concrete
tree,13.0,concrete
tree,6.0,concrete
tree,49.0,concrete
tree,1.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,13.0,concrete
tree,13.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,13.0,concrete
tree,3.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,13.0,concrete
tree,49.0,concrete
tree,4.0,concrete
tree,1.0,concrete
tree,1.0,concrete
tree,3.0,concrete
tree,1.0,concrete
tree,1.0,concrete
tree,13.0,concrete
tree,6.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,2.0,concrete
tree,1.0,concrete
tree,6.0,concrete
tree,4.0,concrete
tree,1.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,2.0,concrete
tree,49.0,concrete
tree,1.0,concrete
tree,49.0,concrete
tree,6.0,concrete
tree,13.0,concrete
tree,49.0,concrete
tree,49.0,concrete
tree,2.0,concrete
tree,13.0,concrete
tree,49.0,concrete
tree,1.0,concrete
