word,CNC,CNC_SD,CNC_N,IMAG,IMAG_SD,IMAG_N,FAM,FAM_SD,FAM_N
mink,5.4063,1.6557,32,4.8182,1.8660,33,3.0909,1.7814,33
minor,3.5938,1.4439,64,3.3231,1.7898,65,5.0323,1.5023,62
minority,3.0938,1.6271,32,3.6286,1.7086,35,5.3750,1.5155,32
mint,6.3103,0.8751,29,6.0667,0.9286,30,5.6429,1.3151,28
mint (food),6.4706,0.9151,34,6.2727,0.9301,33,5.6452,1.6568,31
mint (money),4.8788,1.5523,33,4.8667,2.0287,30,3.8966,1.7290,29
minute,4.1875,2.0530,32,3.4412,2.3413,34,6.6207,0.9618,29
minute (small),4.0857,1.7299,35,4.6176,2.0149,34,4.6875,1.6477,32
minute (time),4.1563,2.0632,32,4.0000,1.8028,32,6.5862,0.8517,29
miracle,2.1818,1.4659,33,2.8529,1.6827,34,4.8710,1.6799,31
miraculous,2.2647,1.5961,34,2.4063,1.1953,32,4.9697,1.7318,33
mirage,2.7879,1.5127,33,3.8485,1.6719,33,3.9375,1.7667,32
mirror,6.5882,0.6471,34,6.4706,1.1940,34,6.3571,0.9340,28
mischief,2.7286,1.1823,70,4.1176,1.6227,68,5.1967,1.6379,61
mischievous,2.9118,1.2454,34,3.8571,1.7426,35,5.7419,1.1631,31
misconception,2.2000,1.2220,30,1.9286,1.2797,28,4.3548,1.6762,31
miser,3.9167,1.6812,24,3.7083,1.8138,24,2.5161,1.8815,31
miserable,2.5625,1.4987,32,4.0938,1.9423,32,5.5172,1.3550,29
misery,2.7353,1.3352,34,4.1818,1.6041,33,5.0323,1.5551,31
missile,6.1290,1.1568,31,6.2581,1.1631,31,5.4375,1.8017,32
mission,3.8438,1.6029,32,4.1515,1.5977,33,5.1333,1.3098,30
mistake,3.2813,1.7182,32,3.3824,1.6806,34,6.1935,0.9974,31
mistress,5.2424,1.3264,33,5.3636,1.7892,33,5.2667,1.6720,30
mob,5.1765,1.4846,34,5.4375,1.3448,32,4.1515,1.4380,33
mobility,3.5294,1.3982,34,4.0000,1.9124,35,4.8788,1.5127,33
mock,3.0882,1.3365,34,3.5313,1.4139,32,5.2667,1.3400,30
mode,3.0606,1.3913,33,2.6364,1.3216,33,4.1290,1.6213,31
model,5.2727,1.6380,33,5.5882,1.3957,34,5.2500,1.4299,28
modest,2.5714,1.0498,35,3.2941,1.8073,34,5.3824,1.4145,34
moist,4.9714,1.3625,35,4.6571,1.2860,35,5.1765,1.4240,34
moisture,5.0313,1.5101,32,4.9677,1.3316,31,5.6154,1.2427,26
mole,6.3030,1.0584,33,6.2500,1.0607,32,4.9375,1.9029,32
mole (animal),6.6667,0.6816,33,6.5429,0.8051,35,4.3333,2.0251,33
mole (skin),6.1471,1.1665,34,6.0588,1.1617,34,4.9333,1.9653,30
mole (spy),4.4839,1.5836,31,4.5161,1.8815,31,3.2581,1.6842,31
molecule,5.4118,1.6201,68,4.3913,2.2277,69,4.6364,2.0423,66
Mom,6.4242,1.0159,33,6.2258,1.5803,31,6.5862,1.2462,29
moment,2.3000,1.0693,30,2.5667,1.3337,30,5.7857,1.1759,28
momentum,3.3636,1.7201,33,3.5758,1.7061,33,5.5313,1.6199,32
monarch,5.2857,1.5597,35,5.8125,1.3793,32,4.5152,1.4999,33
monarchy,5.3939,1.6867,33,5.6563,1.3136,32,5.0667,1.6720,30
money,4.9655,1.9561,29,6.1786,0.9656,28,6.7308,0.5921,26
monk,6.0714,1.0667,28,6.0000,1.2710,26,3.8148,1.7646,27
monkey,6.5455,0.8907,33,6.7667,0.4230,30,5.6129,1.6787,31
monster,3.8182,2.0955,33,5.9706,1.2482,34,5.5161,1.6824,31
month,4.0571,1.7557,35,3.4000,1.8079,35,6.5000,0.8062,30
monument,6.3382,0.9173,68,6.3529,1.0256,68,4.9016,1.7054,61
mood,2.5758,1.2799,33,2.7647,1.6099,34,6.2069,0.8043,29
moody,3.0000,1.6877,33,4.0294,1.6357,34,5.8750,1.1388,32
moon,6.6207,0.8872,29,6.7742,0.9055,31,6.3200,0.8818,25
mooring,4.5714,1.8979,28,4.5714,1.8014,28,2.2647,1.3130,34
moose,6.5806,0.9427,31,6.2500,1.1990,32,4.2813,1.8580,32
moral,2.2941,1.2492,34,2.6563,1.4918,32,5.3000,1.5737,30
morality,1.7667,1.0546,30,2.6364,1.7024,33,5.6667,1.5129,30
morbid,2.5588,1.1165,34,3.2813,1.6247,32,4.2258,1.6793,31
morgue,6.1818,1.5266,33,5.7273,1.3767,33,4.1333,2.1250,30
morsel,4.1724,1.5989,29,4.7188,1.6053,32,3.8750,1.8998,32
mosque,6.3333,0.7888,30,6.2581,0.9493,31,4.0741,1.7832,27
mosquito,6.5806,0.8142,62,6.6230,0.7717,61,4.8772,1.8264,57
moss,6.1176,1.2780,34,5.6571,1.6893,35,4.5625,1.6571,32
most,3.3235,1.8266,34,3.0625,1.7843,32,6.4375,1.0879,32
moth,6.5862,0.7200,29,6.7778,0.4969,27,5.1111,1.6630,27
mother,5.9394,1.4342,33,6.5806,0.7941,31,6.6000,1.0520,30
motherfucker,2.8000,1.5269,35,2.9429,1.8661,35,5.9118,1.5410,34
motion,3.8571,1.6238,35,4.4000,1.9450,35,5.5625,1.3905,32
motor,6.0606,1.2294,33,6.0294,0.9544,34,5.2000,1.1944,30
motorbike,6.7500,0.6614,32,6.7879,0.4772,33,6.0645,1.2164,31
motorway,6.6071,0.7240,28,6.2333,1.4302,30,6.0000,1.3391,29
mould,5.5357,1.2951,28,5.4667,1.5217,30,5.0741,1.6981,27
mound,5.3871,1.3363,31,5.4483,1.4041,29,3.3333,1.5776,30
mount,4.3382,1.4714,68,4.2879,1.6856,66,3.8000,1.6713,60
mountain,6.8400,0.3666,25,6.8148,0.4743,27,6.2083,1.1895,24
mountains,6.8438,0.5068,32,6.7879,0.5370,33,5.7813,1.2179,32
mounted,4.3548,1.4491,31,4.8485,1.4999,33,4.4375,1.6944,32
mouse,6.7813,0.4134,32,6.7742,0.4892,31,6.0667,1.4591,30
mouth,6.7037,0.5972,27,6.6786,0.5381,28,6.4286,0.8492,21
move,4.4412,1.6837,34,5.0278,1.6412,36,6.5714,0.7759,28
movie,5.6429,1.0425,28,5.4074,1.3405,27,6.0417,1.0598,24
muck,4.9375,1.4987,32,5.3548,1.7330,31,5.0345,1.6078,29
mucous,5.7500,1.3463,32,5.6471,1.3695,34,4.5484,2.0294,31
muddy,5.2769,1.4729,65,5.9063,1.0712,64,5.3571,1.3814,56
muffin,6.7419,0.6205,31,6.7931,0.4828,29,6.2222,0.9938,27
mug,6.4242,1.0159,33,6.4848,0.9573,33,6.1935,1.0901,31
mug (cup),6.8125,0.4635,32,6.8485,0.4349,33,6.3667,0.9826,30
mug (face),5.7353,1.4412,34,5.8000,1.3049,35,4.6667,1.6997,33
mugged,4.0909,1.6581,33,4.6970,1.7142,33,4.7667,1.6670,30
mule,6.4667,0.8260,60,5.9531,1.4730,64,3.4483,1.6523,58
multiplication,4.2000,1.8639,35,4.2059,1.6765,34,5.2581,1.8832,31
multiply,3.7273,1.6746,33,3.3143,2.0392,35,5.7333,1.4591,30
Mum,6.0625,1.6944,32,6.6129,0.9044,31,6.9000,0.3958,30
mumble,3.6970,1.5073,33,3.8857,1.9824,35,5.6364,1.3887,33
Mummy,5.7419,1.4584,31,6.5152,0.8571,33,6.1563,1.6791,32
mural,5.6452,1.6174,31,5.0333,1.7026,30,3.2333,1.6265,30
murder,5.5000,1.4549,30,5.5000,1.5000,32,6.0357,1.5232,28
murderer,5.9412,1.3707,34,5.6176,1.5907,34,5.8438,1.3488,32
murmur,4.0000,1.6771,32,3.3636,2.0570,33,4.4828,1.9230,29
muscle,6.4667,0.8459,30,6.3333,1.2202,30,6.3462,0.9978,26
muscular,5.2581,0.9827,31,5.6452,1.2061,31,5.4615,1.3931,26
museum,6.5303,0.8019,66,6.4328,0.8326,67,5.8387,1.3583,62
mushroom,6.6250,0.7806,32,6.8438,0.3631,32,6.1000,1.0440,30
mushroom (expand),4.1667,2.1461,30,4.9000,1.6803,30,3.2500,1.9685,32
mushroom (food),6.5882,0.8087,34,6.5152,1.2091,33,5.5161,1.6824,31
music,5.2353,1.6988,34,5.2647,1.9298,34,6.9375,0.2421,32
musical,4.0370,1.6663,27,4.4138,1.7522,29,5.3750,1.4948,24
musician,5.1852,1.0899,27,5.6207,1.2152,29,5.5000,1.4478,26
musket,6.3103,0.9506,29,5.8333,1.7143,30,3.0313,2.0537,32
musketeers,5.2188,1.5152,32,5.7813,1.3632,32,3.7188,2.0651,32
mussel,6.3235,1.0494,34,6.2353,1.1896,34,4.1765,1.8704,34
mustang,5.9688,1.2866,32,5.5455,1.5781,33,3.5938,1.7829,32
mustard,6.0645,1.1053,31,6.4545,0.7820,33,5.4516,1.5206,31
mutation,4.0909,1.8807,33,4.3143,2.1484,35,3.9091,1.8646,33
mutilate,4.4857,1.9030,35,4.8182,1.8822,33,4.0909,1.9596,33
mystery,2.7273,1.4412,33,2.8966,1.8447,29,5.6207,1.6487,29
mystic,2.2121,1.1216,33,3.3030,1.5664,33,4.2759,1.5952,29
myth,1.8788,1.0374,33,3.1935,1.8036,31,4.9375,1.5996,32
mythology,2.5625,1.7309,32,3.4839,1.8116,31,4.3871,1.6593,31
nail,6.4074,0.8282,27,6.2000,1.2961,25,6.0385,0.9398,26
nail (finger),6.6176,0.5948,34,6.6563,0.6896,32,6.3824,0.8750,34
nail (hammer),6.5588,0.8809,34,6.6667,0.9428,33,5.7273,1.4827,33
naive,2.3871,0.8680,31,2.5484,1.3640,31,5.3077,0.9102,26
naked,5.0000,1.5658,31,5.6429,1.0762,28,6.0769,1.0349,26
name,4.6000,1.6071,35,3.7429,1.9323,35,6.6552,0.6032,29
named,3.3529,1.9079,34,2.2353,1.4154,34,5.5000,1.4142,32
namesake,2.7143,1.5037,35,2.0000,1.2748,32,2.5313,1.4139,32
nanny,5.8333,0.9690,30,5.6333,0.9123,30,4.1111,2.0428,27
narcotic,3.8286,1.7482,35,3.8824,1.5485,34,3.8065,1.7856,31
narrow,4.2000,1.5639,35,5.3529,1.5696,34,5.4375,1.4777,32
nasty,2.5455,1.0757,33,3.4242,1.8096,33,5.7586,1.3558,29
nation,4.2000,1.8792,35,4.6471,1.7470,34,5.8485,1.1579,33
national,3.4516,1.4105,31,3.3333,1.5891,33,5.6364,1.0096,33
natural,3.6286,1.8987,35,4.1515,1.9866,33,5.8333,1.4625,30
nature,4.5313,1.9683,32,5.5758,1.1555,33,6.3462,0.7816,26
naughty,3.3143,1.5264,35,4.3824,1.4756,34,5.3636,1.3216,33
nausea,4.3548,1.8931,31,4.2059,2.0973,34,5.0357,1.6793,28
naval,5.2258,1.3610,31,4.6875,1.8445,32,3.9310,1.9286,29
navel,6.0588,1.1361,34,5.7059,1.4858,34,3.7059,2.0655,34
navy,5.6286,1.4557,35,5.9143,1.6966,35,5.6563,1.7608,32
near,3.7353,1.6682,34,4.1563,1.6223,32,6.4839,0.8751,31
neat,4.1471,1.4977,34,4.7879,1.4926,33,5.8485,1.2821,33
necessary,2.6857,1.1898,35,2.5143,1.4808,35,5.7333,1.2632,30
necessity,2.2727,0.9621,33,2.6000,1.5188,30,5.3000,1.2152,30
neck,6.6154,0.7378,26,6.5862,0.7200,29,6.5600,0.7526,25
necklace,6.6875,0.6343,32,6.5294,0.8484,34,6.1935,0.8951,31
nectar,5.9412,0.9983,34,5.3235,1.6754,34,4.4412,1.6304,34
need,3.0909,1.2151,33,2.7576,1.6702,33,6.3125,1.2103,32
needle,6.7143,0.6578,35,6.4118,0.9113,34,5.6061,1.7045,33
needy,2.7143,1.1357,35,3.2000,1.8330,35,5.1667,1.5074,30
negative,3.5806,1.8276,31,2.8485,1.7773,33,6.2667,0.8537,30
neglect,2.7941,1.6230,34,3.9706,1.8863,34,4.5938,1.6930,32
neglected,2.9722,1.8179,36,4.2571,2.0886,35,5.9118,1.3584,34
negotiate,3.3030,1.4870,33,3.0968,1.5524,31,5.4483,1.4759,29
negotiation,3.5152,1.7078,33,3.5484,1.5206,31,5.0769,1.4656,26
negotiator,3.9714,1.5764,35,4.1818,1.7999,33,4.4063,1.5382,32
neighbour,5.7500,1.1534,28,5.7097,1.1693,31,6.1111,1.0304,27
neon,4.5625,1.8698,32,5.4000,1.7271,35,4.9667,1.6017,30
nephew,5.9091,1.3111,33,4.9091,1.9127,33,5.4848,1.6352,33
nervous,3.4857,1.5560,35,4.5588,1.6837,34,6.1000,1.0116,30
nest,6.3731,0.9278,67,6.5303,0.7632,66,5.2903,1.5491,62
net,5.6364,1.6109,33,5.5455,1.5972,33,5.1333,1.5434,30
nettle,6.3548,0.8632,31,6.0909,1.3340,33,4.9355,1.9990,31
network,3.8125,1.3564,32,3.1034,1.6681,29,5.6429,1.3151,28
neural,4.0357,1.7213,28,3.1379,1.8142,29,3.7000,1.7540,30
neurotic,2.6667,1.3250,30,3.0303,1.6785,33,3.8571,1.9877,35
neutral,3.3939,1.2045,33,2.6364,1.4734,33,5.3103,1.5110,29
neutron,4.6875,2.1857,32,4.1935,2.0386,31,4.7097,2.0192,31
new,4.2188,1.6721,32,4.3125,1.5297,32,6.4643,0.8653,28
news,3.7188,1.4840,32,3.6875,1.7036,32,6.3571,1.0425,28
nice,2.9412,1.3491,34,3.7273,1.7104,33,6.3333,1.1459,33
niece,5.6667,1.4495,33,4.8387,1.5678,31,5.3448,1.8247,29
night,4.9688,1.5907,32,6.5882,0.8087,34,6.7857,0.4897,28
nightfall,4.8333,1.0028,30,5.5000,1.0897,32,4.5357,1.9176,28
nightmare,3.1471,1.9723,34,4.4412,1.6484,34,5.6333,1.2512,30
nimble,3.1250,1.4307,32,3.5000,1.6315,34,3.5000,1.7854,32
nipple,6.5455,0.7820,33,6.6176,0.6424,34,5.6333,1.2243,30
noise,4.6970,1.6603,33,4.2500,2.0156,32,6.6897,0.5933,29
noisy,3.9412,1.6439,34,4.1429,1.8070,35,6.1290,1.0699,31
nonchalant,2.0000,0.9097,29,3.3571,1.4691,28,3.2286,1.8061,35
none,3.4118,1.9870,34,3.0286,1.7806,35,5.6970,1.4870,33
nonsense,2.5455,1.1571,33,2.6061,1.6319,33,5.5862,1.3776,29
noon,4.3143,1.9387,35,3.9714,1.7152,35,5.8485,1.3285,33
noose,5.9429,1.2176,35,6.0882,1.3143,34,4.4118,2.1436,34
norm,3.0000,1.4376,30,2.5000,1.5000,32,4.6667,1.8202,33
nose,6.7600,0.5122,25,6.7917,0.4061,24,6.3333,0.9920,21
note,5.3548,1.3087,31,5.3793,0.9618,29,5.8519,1.2968,27
notebook,6.6250,0.6495,32,6.5714,0.9647,35,6.0625,1.2732,32
notepad,6.7941,0.5302,34,6.8438,0.3631,32,6.3929,0.8594,28
notice,3.6786,1.6914,28,3.3636,1.5920,33,5.3333,1.2134,24
notion,2.1250,1.0533,32,2.0968,1.0581,31,4.5517,1.6313,29
noun,4.0323,1.7130,31,2.9375,1.7843,32,5.7241,1.1714,29
nourish,3.4375,1.6190,32,3.5294,1.9438,34,5.3000,1.4866,30
nourishment,4.2059,1.7620,34,4.2286,1.8061,35,5.0313,1.1854,32
novel,5.5625,1.5600,32,5.4516,1.7751,31,6.0345,1.3514,29
novel (book),6.1818,1.3807,33,6.2941,1.0989,34,6.2759,1.0471,29
novel (new),3.1515,1.6166,33,2.6774,1.7668,31,3.6875,1.8275,32
novice,4.0571,1.4917,35,3.3143,1.5995,35,4.1875,1.6852,32
nucleus,5.7059,1.3833,34,5.1818,1.5851,33,5.0313,1.9119,32
nude,5.1429,1.4763,35,6.0588,1.4741,34,5.4118,1.6648,34
nugget,5.0571,1.3927,35,5.0303,1.6603,33,4.7419,1.9669,31
nuisance,2.8182,1.2899,33,3.3143,1.8011,35,5.1515,1.7078,33
nun,6.2424,1.3034,33,6.4667,1.0242,30,4.4231,1.9049,26
nuptials,4.1852,1.9821,27,4.4643,1.9176,28,2.8529,1.7173,34
nurse,6.0645,0.9482,31,6.6667,0.6498,30,6.1905,0.9571,21
nursery,5.8387,1.4164,31,5.7500,1.2247,32,5.4333,1.5424,30
nurture,3.0606,1.7045,33,3.6364,1.5338,33,4.8276,1.7825,29
nut,6.3871,1.0679,31,6.4839,0.8751,31,6.2593,1.1086,27
nut (bolt),6.3529,0.9356,34,6.2188,1.1384,32,4.6176,1.9706,34
nut (crazy person),2.5625,1.6382,32,4.4571,1.8259,35,4.9032,1.7844,31
nut (food),6.3871,1.3602,31,6.8667,0.3399,30,6.4063,0.9307,32
nutmeg,6.2941,1.0155,34,5.7273,1.4412,33,4.4545,2.0014,33
nutrient,5.1714,1.2068,35,3.4000,1.6071,35,5.5313,1.5808,32
nutrition,4.5000,1.5577,34,3.9375,1.7128,32,5.6667,1.1643,30
nutritious,4.2121,1.6470,33,3.5882,1.5169,34,5.7188,1.1246,32
nuts,6.4848,0.8210,33,6.5588,0.8114,34,5.8125,1.1575,32
nuts (bolts),6.4118,0.9430,34,6.4000,0.9320,35,4.3750,1.8833,32
nuts (crazy),2.4118,1.2155,34,4.1471,2.0599,34,5.0000,1.4975,33
nuts (food),6.6563,0.6427,32,6.6667,0.6816,33,6.1613,0.9869,31
nuts (testicles),6.4706,0.9151,34,6.4286,0.9647,35,5.4412,1.4182,34
nylon,5.4286,1.6263,35,4.9091,1.6943,33,4.0313,1.7227,32
nymph,3.7600,1.7036,25,4.2000,1.8330,25,3.0938,1.9423,32
oak,6.5455,0.6556,33,6.2813,1.3047,32,5.0000,1.7922,33
oath,3.6857,1.7691,35,3.5429,1.7783,35,4.5938,2.0288,32
oats,6.4194,0.9078,31,6.3750,0.9922,32,5.6897,1.3158,29
obedience,3.1515,1.7602,33,4.0606,1.7045,33,5.8276,1.2884,29
obedient,3.1176,1.5294,34,3.9412,1.8778,34,5.4839,1.3167,31
obese,5.3030,1.3593,33,6.2258,1.0987,31,6.0625,1.0588,32
obesity,5.6765,1.2770,34,6.0000,1.5811,32,5.9032,1.3994,31
obey,3.1176,1.5294,34,3.0909,1.1379,33,5.2581,1.4361,31
object,5.1765,1.8704,34,4.3529,1.9233,34,6.2667,0.9978,30
object (disagree),2.6765,0.8650,34,3.0294,1.5240,34,5.0000,1.7408,33
object (thing),6.1176,1.2311,34,5.2647,2.1463,34,5.9394,1.5362,33
objective,2.7941,1.5677,34,2.7879,1.7366,33,5.4643,1.3491,28
oblige,2.7647,1.4564,34,2.5143,1.6453,35,5.0938,1.5484,32
obliging,2.4516,1.2139,31,2.6000,1.3064,30,4.2069,1.7096,29
oblivion,2.7576,1.9232,33,3.1471,2.2639,34,3.9706,1.8706,34
oblivious,2.8276,1.2337,29,2.9355,1.4797,31,4.8000,1.8868,30
obnoxious,2.5938,1.3195,32,2.9706,1.4849,34,4.5625,1.8017,32
oboe,6.5172,1.2211,29,6.0690,1.5070,29,3.8333,2.0830,30
obscene,3.0571,1.5481,35,3.8824,1.6045,34,4.3333,1.8202,33
obscenity,2.8667,1.6879,30,3.1176,1.5485,34,4.5806,1.8626,31
obscure,2.2813,1.1246,32,2.2903,1.4634,31,4.9310,1.5742,29
observation,3.4848,1.7773,33,3.4063,1.9342,32,5.5667,1.6265,30
observe,3.4242,1.2560,33,3.2353,1.7997,34,5.6452,0.9349,31
obsess,2.7143,1.2999,35,3.4118,1.4776,34,5.4194,1.6019,31
obsession,3.0882,1.8370,34,3.8235,1.9922,34,5.5172,1.3293,29
obsessive,2.7813,1.4520,32,3.5152,1.7429,33,5.6970,1.0867,33
obstacle,4.8824,1.5294,34,4.9143,1.4999,35,5.1563,1.7159,32
obvious,2.7143,1.2778,35,2.5588,1.6123,34,6.2000,1.0132,30
occasion,3.7143,1.4456,35,4.0000,1.7728,35,5.6667,1.2472,33
occasionally,2.2424,1.3933,33,2.6970,1.7318,33,6.0313,1.2621,32
occupation,3.9429,1.9704,35,3.5143,1.8574,35,5.4545,1.2332,33
occupy,3.4412,1.3973,34,3.3143,1.8326,35,4.8065,1.6929,31
occur,3.0645,1.3425,31,1.9688,0.9180,32,5.4375,1.1973,32
occurrence,2.9706,1.1501,34,2.6765,1.5852,34,4.3939,1.8247,33
ocean,6.5714,0.6227,28,6.3810,0.6529,21,6.0000,1.2172,27
octopus,6.7778,0.4969,27,6.7692,0.5044,26,4.4783,1.7661,23
odd,2.4706,1.5384,34,3.1176,1.7281,34,5.8214,1.6914,28
odour,4.1563,1.6604,32,4.0000,2.0917,32,5.4138,1.4024,29
offence,3.0294,1.6536,34,3.6061,1.8081,33,5.9286,0.8835,28
offend,3.1515,1.6899,33,3.4706,1.4600,34,5.5000,1.3693,32
offensive,2.3333,1.3250,30,2.8000,1.5144,30,5.6071,1.2053,28
office,6.2667,0.9286,30,6.4483,0.8131,29,6.1379,1.0077,29
officer,5.9063,1.1554,32,6.0857,0.9963,35,5.3548,1.4267,31
offshoot,3.5000,1.5275,24,3.1429,1.7261,28,3.0333,1.6017,30
oil,6.2424,1.2799,33,6.2941,1.0440,34,6.1515,1.2582,33
older,3.3226,1.2798,31,3.9355,1.4797,31,5.7500,1.2990,28
olive,6.6667,0.7247,33,6.7419,0.6205,31,5.3793,1.5628,29
omission,2.8788,1.2249,33,2.3235,1.1040,34,4.1250,1.6724,32
omit,2.5938,0.9307,32,2.4545,1.4993,33,4.2903,1.5491,31
onion,6.7778,0.6849,27,6.6000,0.9695,20,6.6957,0.6875,23
only,2.8286,1.6816,35,2.5455,1.7768,33,6.6000,0.8000,30
onslaught,3.1515,1.3055,33,3.0000,1.5275,30,3.6774,1.7850,31
open,3.6000,1.8393,35,4.4857,1.7948,35,6.5333,0.9214,30
opening,3.6970,1.6234,33,4.6452,1.3332,31,5.7692,1.0491,26
opinion,2.5000,1.6394,32,2.4571,1.4802,35,6.2813,0.8744,32
opium,5.4828,1.5674,29,4.1290,1.5396,31,3.0000,1.8837,31
opportunist,3.5000,1.8190,34,3.1515,1.5787,33,4.3125,1.6852,32
opportunity,2.9063,1.4866,32,3.2813,1.6438,32,6.2143,1.0473,28
oppose,3.7419,1.9995,31,3.0667,1.8245,30,4.9259,1.5135,27
opposition,3.8182,1.5463,33,3.8182,1.4450,33,4.7333,1.6519,30
oppress,2.8438,1.8047,32,3.5000,2.0037,34,4.3000,1.9000,30
optimal,3.2500,1.6583,32,3.1515,1.7254,33,5.2414,1.5460,29
optimism,2.0588,1.0556,34,2.9706,1.7403,34,6.0645,0.8006,31
optimist,2.8824,1.5861,34,3.8286,1.8281,35,5.7188,1.3517,32
optimistic,2.7576,1.7758,33,3.3636,1.6664,33,5.9000,1.0755,30
option,3.0938,1.3077,32,3.0606,1.5558,33,6.0606,1.2294,33
oral,4.1143,1.5815,35,4.2353,1.9412,34,5.1667,1.2931,30
orange,6.1290,1.3135,31,6.6522,0.6984,23,6.2400,1.0307,25
orange (colour),5.6765,1.5477,34,6.8182,0.4576,33,6.3636,1.0096,33
orange (fruit),6.6571,0.9241,35,6.8857,0.6664,35,6.4138,0.9655,29
orangutan,6.7273,0.6639,33,6.7500,0.6614,32,4.6970,2.1104,33
orbit,4.2667,1.3646,30,4.0667,1.6720,30,4.1852,1.7005,27
orchard,6.3824,1.0576,34,6.2353,1.2616,34,4.1176,1.9367,34
orchestra,6.0606,1.3357,66,6.5000,0.8478,64,5.2833,1.7710,60
ordain,3.0000,1.4856,29,3.1379,1.6963,29,2.4063,1.7475,32
ordeal,3.3824,1.3936,34,3.4286,1.7285,35,4.9355,1.7586,31
ordinary,3.5313,1.7497,32,3.3125,1.6852,32,5.9667,1.0483,30
organ,6.1538,1.0987,26,5.7333,1.3149,30,5.5385,1.4473,26
organ (liver),6.6471,0.6363,34,6.1515,1.3511,33,5.6429,1.6083,28
organ (piano),6.3143,0.8871,35,6.5938,0.8965,32,4.9375,1.5600,32
organise,3.1613,1.3464,31,4.2500,1.9039,32,6.1667,0.8975,24
organised,3.4545,1.4583,33,4.2571,1.4608,35,6.1290,0.9067,31
organism,5.6176,1.3723,34,4.5625,1.7309,32,5.3333,1.6600,30
orgasm,5.0286,1.8744,35,5.2121,1.6098,33,5.6000,1.3808,30
origin,3.1818,1.2421,33,2.7059,1.2255,34,5.3667,1.3780,30
ornament,6.3714,0.8972,35,6.3235,0.9917,34,4.3750,1.8329,32
ostrich,6.5224,0.7602,67,6.4783,0.9722,69,4.8254,1.9804,63
other,2.8387,1.5260,31,2.1000,1.5780,30,6.2692,1.0582,26
otter,6.7879,0.4772,33,6.7813,0.5440,32,5.2121,1.8217,33
ounce,5.0938,1.4439,32,3.7097,1.6885,31,4.4333,1.8741,30
outbreak,3.8125,1.4882,32,3.5455,1.6713,33,4.9063,1.5684,32
outcast,3.5313,1.4139,32,4.2500,1.6394,32,5.3333,1.5129,30
outcome,3.7059,1.2955,34,2.8438,1.3255,32,5.2667,1.5478,30
outdoors,5.4688,1.7318,32,6.4375,0.7474,32,5.8621,1.2519,29
outlook,2.5938,1.2713,32,3.3529,1.9233,34,5.0769,1.8589,26
output,3.6765,1.4896,34,2.6765,1.5477,34,4.8065,1.3777,31
outrage,3.1765,1.7900,34,4.6571,1.7393,35,5.3871,1.1550,31
outside,5.3824,1.5721,34,6.1515,0.9573,33,6.5667,0.6675,30
outsider,4.2500,1.6202,32,4.5758,1.5576,33,4.8710,1.6799,31
outstanding,2.3125,0.8817,32,2.8065,1.8036,31,4.9286,1.3344,28
oval,5.4118,1.4167,34,5.8857,1.3892,35,4.7879,1.6653,33
oven,6.7273,0.4454,33,6.7941,0.5302,34,6.4242,0.9857,33
over,3.5143,1.4417,35,3.5882,1.7340,34,5.7742,1.4303,31
over (above),3.9394,1.7045,33,4.1515,1.7773,33,6.1000,1.3748,30
over (cricket),3.6154,1.9030,26,3.2414,1.9415,29,1.7059,1.0989,34
over (finished),3.7941,1.8114,34,2.9143,1.5189,35,6.1290,1.2113,31
overcast,4.8929,1.2632,28,5.6875,1.3095,32,5.0714,1.4863,28
overdose,4.7273,1.5816,33,4.5000,1.8826,34,4.4839,1.7014,31
overt,2.6333,1.4488,30,2.4242,1.4149,33,3.5000,2.1409,30
owl,6.6774,0.6904,31,6.7188,0.6724,32,6.1000,1.2477,30
own,3.5294,1.9438,34,3.5455,1.7249,33,6.2069,1.1855,29
owner,4.4118,1.7170,34,4.2813,1.8913,32,6.0303,1.3368,33
ownership,3.2188,1.5559,32,3.1250,1.5959,32,4.7931,1.5172,29
oxygen,5.3824,1.7152,34,3.2121,1.8871,33,6.0938,1.2590,32
oyster,6.4545,1.0471,33,6.2581,1.1631,31,4.8966,1.9887,29
pacifism,2.6364,1.4734,33,3.4063,1.4760,32,3.5758,2.0454,33
pacifist,3.4375,1.8017,32,3.1250,1.7810,32,3.8750,1.8157,32
pack,5.0857,1.3389,35,5.0588,1.5519,34,5.2813,1.5659,32
pack (fill),4.8235,1.3606,34,4.2813,1.3284,32,5.1333,1.4079,30
pack (group),5.0000,1.5492,35,4.8235,1.6710,34,4.5161,1.7937,31
package,6.0625,1.0879,32,5.8333,1.2671,30,5.6667,1.3333,27
packet,5.9032,1.2790,31,5.9032,1.3040,31,6.1250,0.9601,32
pact,3.6563,1.4493,32,2.7742,1.3127,31,4.4000,1.8000,30
padlock,6.7333,0.5735,30,6.8667,0.4269,30,5.0000,1.5933,26
page,6.3704,0.7769,27,6.5000,0.6814,28,6.3462,0.8745,26
page (call),4.2059,1.9521,34,3.9706,1.7571,34,3.5161,1.7574,31
page (paper),6.4667,0.8844,30,6.2188,1.1920,32,6.2069,1.2143,29
page (ward),5.0455,1.2239,22,4.2000,1.9183,25,2.5882,1.7842,34
pail,6.0000,1.2000,25,5.5333,1.4772,30,2.4815,1.5722,27
pain,3.7188,2.1540,32,4.4375,1.9355,32,6.1111,1.0304,27
